Comment,Description,Designator,Footprint,Mounted,Quantity,Value
"1u X5R","Capacitor","C44","CAPC1608X87N","Yes","1","1u X5R"
"4.7u X5R","Capacitor","C45","CAPC1608X87N","Yes","1","4.7u X5R"
"10u X5R","Capacitor","C46","INDC2012-0805","Yes","1","10u X5R"
"1u X5R","Capacitor","C47","CAPC1608X87N","Yes","1","1u X5R"
"1u X5R","Capacitor","C48","CAPC1608X87N","Yes","1","1u X5R"
"22p","Capacitor","C49","CAPC1608X87N","Yes","1","22p"
"10u X5R","Capacitor","C50","INDC2012-0805","Yes","1","10u X5R"
"4.7u X5R","Capacitor","C51","CAPC1608X87N","Yes","1","4.7u X5R"
"1u X5R","Capacitor","C52","CAPC1608X87N","Yes","1","1u X5R"
"8.2p","Capacitor","C53","CAPC1608X87N","Yes","1","8.2p"
"10u X5R","Capacitor","C54","INDC2012-0805","Yes","1","10u X5R"
"4.7u X5R","Capacitor","C55","CAPC1608X87N","Yes","1","4.7u X5R"
"4.7u X5R","Capacitor","C56","CAPC1608X87N","Yes","1","4.7u X5R"
"6.8p","Capacitor","C57","CAPC1608X87N","Yes","1","6.8p"
"10u X5R","Capacitor","C58","INDC2012-0805","Yes","1","10u X5R"
"33p","Capacitor","C59","CAPC1608X87N","Yes","1","33p"
"47u","Polarized Capacitor Tantalum","C60","TC3528-1411","Yes","1","47u"
"47u","Polarized Capacitor Tantalum","C61","TC3528-1411","Yes","1","47u"
"1u X5R","Capacitor","C62","INDC2012-0805","Yes","1","1u X5R"
"4.7u X5R","Capacitor","C63","CAPC1608X87N","Yes","1","4.7u X5R"
"1u X5R","Capacitor","C64","CAPC1608X87N","Yes","1","1u X5R"
"100n","Capacitor","C65","CAPC1608X87N","Yes","1","100n"
"10n","Capacitor","C66","CAPC1608X87N","Yes","1","10n"
"100n","Capacitor","C67","CAPC1608X87N","Yes","1","100n"
"10n","Capacitor","C68","CAPC1608X87N","Yes","1","10n"
"10n","Capacitor","C69","CAPC1608X87N","Yes","1","10n"
"10n","Capacitor","C70","CAPC1608X87N","Yes","1","10n"
"100n","Capacitor","C71","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C72","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C73","CAPC1608X87N","Yes","1","100n"
"100n","Capacitor","C75","CAPC1608X87N","Yes","1","100n"
"1u X5R","Capacitor","C76","CAPC1608X87N","Yes","1","1u X5R"
"100n","Capacitor","C77","CAPC1608X87N","Yes","1","100n"
"HDMI","Connector HDMI 19 Male + 1 Shield","CN1","MOLEX_500254-1927","Yes","1","MOLEX 500254-1927"
"USB","5 Pin + 1 Shield USB Receptacle","CN2","TYCO_1734035-1","Yes","1","TYCO_1734035-1"
